id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1318214825302872064,1318214825302872064,2020-10-19 16:38:00 Maroc (heure d’été),2020-10-19,16:38:00,+0100,815680,godless_mom,🇨🇦Courtney Heard (she/her) 💛💙,,"Cases are still going up because of anti-maskers and people not following the guidelines. This isn’t difficult, hun. If you are near an asymptomatic carrier and they sneeze, do you want them wearing a mask or are you cool with their droplets landing on you?",en,[],[],[],14,13,48,[],[],https://twitter.com/godless_mom/status/1318214825302872064,False,https://twitter.com/Bubba321B/status/1318063974584184833,0,,Penticton,,,,,,[],,,,
1316109617320034307,1316109617320034307,2020-10-13 21:12:39 Maroc (heure d’été),2020-10-13,21:12:39,+0100,510947478,staceytonita,Stacey Tonita,"{'type': 'Point', 'coordinates': [49.50022, -119.594]}","One benefit to wearing a face mask  is it keeps your face warm outside 😛#bekind #besafe #bewarmintheface @ Penticton, British Columbia  https://t.co/JpOD64gFVj",en,[],['https://www.instagram.com/p/CGS_OJghzN8/?igshid=ecdm4lz8jym0'],[],0,0,0,"['bekind', 'besafe', 'bewarmintheface']",[],https://twitter.com/StaceyTonita/status/1316109617320034307,False,,0,,Penticton,,,,,,[],,,,
1315624527582302208,1315330879837868033,2020-10-12 13:05:05 Maroc (heure d’été),2020-10-12,13:05:05,+0100,1267781264230117381,justice55565092,Justice,,"@Lokahi7701 @bren2915 @Petz1977 Also, their pollution rate was speeding up their mortality. So? They aren’t affected by mask 😷 wearing, they just don’t like the digital imprint that follows them when they walk about. CCTV escalated beyond Orwell’s - 1984. Here we would call that invasion of privacy. Be blessed",en,[],[],[],0,0,1,[],[],https://twitter.com/Justice55565092/status/1315624527582302208,False,,0,,Penticton,,,,,,"[{'screen_name': 'bren2915', 'name': 'GIVE ME BACK MY 🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸', 'id': '866458494752497664'}]",,,,
1315142523346579456,1315142523346579456,2020-10-11 05:09:46 Maroc (heure d’été),2020-10-11,05:09:46,+0100,815680,godless_mom,🇨🇦Courtney Heard (she/her) 💛💙,,"How is it that some people can convince themselves that every government in the world, every government official, every doctor, nurse and EMT, every scientists, epidemiologist, In Every nation are all in on a conspiracy to fuck up our economy and make us wear masks?  Wtf for???",en,[],[],[],43,37,265,[],[],https://twitter.com/godless_mom/status/1315142523346579456,False,,0,,Penticton,,,,,,[],,,,
1314027728207716354,1314027395209408517,2020-10-08 03:19:58 Maroc (heure d’été),2020-10-08,03:19:58,+0100,1267781264230117381,justice55565092,Justice,,@donlemon Was it tested for Covid? Or even wearing a mask? Flies are attracted to 💩 . What does that tell you? Lmao,en,[],[],[],0,1,6,[],[],https://twitter.com/Justice55565092/status/1314027728207716354,False,,0,,Penticton,,,,,,"[{'screen_name': 'donlemon', 'name': 'Don Lemon', 'id': '16051471'}]",,,,
1312071109034950656,1312071109034950656,2020-10-02 17:45:04 Maroc (heure d’été),2020-10-02,17:45:04,+0100,1267781264230117381,justice55565092,Justice,,"Who’s the SUCKER and LOSER now for not wearing a mask 😷 (other than inside his pocket) and NOT protecting your lives to have freedom to breath or hug a loved one, just one more time? Not impressed!!  ""IT WILL NEVER HAPPEN TO ME!!""  Is a paradox/oxymoron. Take your pick.",en,[],[],[],0,1,0,[],[],https://twitter.com/Justice55565092/status/1312071109034950656,False,,0,,Penticton,,,,,,[],,,,
1312063402743799808,1311981319904268290,2020-10-02 17:14:26 Maroc (heure d’été),2020-10-02,17:14:26,+0100,1267781264230117381,justice55565092,Justice,,"@lizlibra1009 It would unChristian-like for me not to care. But really?  It was expected. Just took long enough for the Hoax to catch-up.  Now that Trump has the Hoax-Vid19, maybe ppl will be more compelled to wear a mask 😷. I’d also stress gloves b/c it stops the spread from touching them. ?",en,[],[],[],0,0,0,[],[],https://twitter.com/Justice55565092/status/1312063402743799808,False,,0,,Penticton,,,,,,"[{'screen_name': 'lizlibra1009', 'name': '✨💁🏻\u200d♀️ Liz♎️✨😈💅🏽', 'id': '823197962327171072'}]",,,,
1310910541439795201,1310719987137433600,2020-09-29 12:53:23 Maroc (heure d’été),2020-09-29,12:53:23,+0100,1267781264230117381,justice55565092,Justice,,"@sky_jace @jenna_patt Wear a mask! 😷  There’s your wisdom.  Or you can stay with the old, ""Dont cry 😭 over spilled milk 🥛"" theory.",en,[],[],[],1,0,0,[],[],https://twitter.com/Justice55565092/status/1310910541439795201,False,,0,,Penticton,,,,,,"[{'screen_name': 'sky_jace', 'name': 'Jace Sky', 'id': '1237174473054236672'}, {'screen_name': 'jenna_patt', 'name': 'Jenna Patterson', 'id': '1248001943957409793'}]",,,,
1308073177130524674,1308073177130524674,2020-09-21 16:58:42 Maroc (heure d’été),2020-09-21,16:58:42,+0100,1267781264230117381,justice55565092,Justice,,"Hello my fellow friends. Your daily truth, as promised. Canada vs US. I miss you 😘!!!! Wear a mask 😷 and lets see if New Years can be saved. I WANT TO PARTY 🥳 🎉!!!  https://t.co/leiA28JeOg",en,[],[],"['https://pbs.twimg.com/media/Eic1nvXVoAI1lOX.jpg', 'https://pbs.twimg.com/media/Eic1nvZU8AA06kQ.jpg']",0,0,0,[],[],https://twitter.com/Justice55565092/status/1308073177130524674,False,,1,https://pbs.twimg.com/media/Eic1nvXVoAI1lOX.jpg,Penticton,,,,,,[],,,,
1307351421625405440,1307351421625405440,2020-09-19 17:10:42 Maroc (heure d’été),2020-09-19,17:10:42,+0100,1267781264230117381,justice55565092,Justice,,Ok Peeps. Here’s the deal. Difference b/w wearing a mask 😷 &amp; not wearing ☝️ (Besides the fact it’s either life &amp; death). Wait! YES IT IS!!! The difference between Canada &amp; .....well? YOU!!! America/US/soon-to-be-Russia’s BITCH!! WEAR A 🤬’ing MASK!! I want our boarders to open!!  https://t.co/ofTRgQpwh6,en,[],[],"['https://pbs.twimg.com/media/EiSlMBfU4AAxPmK.jpg', 'https://pbs.twimg.com/media/EiSlMBhVoAArTgV.jpg']",0,0,0,[],[],https://twitter.com/Justice55565092/status/1307351421625405440,False,,1,https://pbs.twimg.com/media/EiSlMBfU4AAxPmK.jpg,Penticton,,,,,,[],,,,
