,tweet
84,"['mitsurugi', 'akamai', 'hikae', 'steam', 'arena', 'fighter', 'slash', 'horde', 'enemy', 'sound', 'dangerous', 'even', 'moreso', 'dont', 'wear', 'mask', 'flattenthecurve', 'covid', '19']"
85,"['dude', 'stop', 'supporting', 'trod', 'freedom', 'im', 'going', 'wear', 'mask', 'dont', 'like', 'stay', 'home', 'im', 'going', 'drive', 'sober', 'dont', 'like', 'stay', 'highway', 'sarcasm', 'clear']"
86,"['thank', 'wearing', 'mask']"
87,"['municipality', 'passing', 'bylaw', 'make', 'mask', 'mandatory', 'public', 'space', 'received', 'message', 'community', 'asking', 'position', 'required', 'wear', 'mask', 'public', 'space']"
88,"['medical', 'training', 'give', 'authority', 'say', 'advocate', 'wearing', 'mask', 'virus', 'airborne']"
89,"['tell', 'people', 'run', 'toward', 'train', 'boarding', 'plateform', 'room', 'everyone', 'aboard', 'even', 'child', 'running', 'grown', 'covidiots', 'wearing', 'mask', 'nose']"
90,"['nobody', 'messaged', 'code', 'headline', 'pack', 'grab', 'stay', 'home', 'play', 'game', 'wear', 'mask', 'flattenthecurve', 'covid', '19']"
91,"['maybe', 'im', 'spitballing', 'wa', 'seen', 'wear', 'mask', 'hardcore', 'folk', 'would', 'would', 'keep', 'everyone', 'safe']"
92,"['restaurant', 'reopened', 'almost', 'waiter', 'ive', 'seen', 'wearing', 'mask', 'face', 'shield', 'new', 'plexiglas', 'lower', 'capacity', 'ive', 'seen', 'large', 'group', 'people', 'different', 'household', 'multiple', 'occasion']"
93,"['would', 'go', 'nude', 'resort', 'asked', 'wear', 'mask', 'covidiots', 'bstv', 'coronavaccine', 'nuderesorts', 'covid', '_19', 'facemasks']"
94,"['heartbreaking', 'hardest', 'kid', 'anyone', 'son', 'special', 'need', 'amp', 'progress', 'made', 'last', 'year', 'ha', 'come', 'undone', 'amp', 'worse', 'wa', 'wear', 'fucking', 'mask', 'amp', 'quit', 'arrogant', 'amp', 'self', 'righteous', 'cub', 'deserve', 'better']"
95,"['get', 'kid', 'excited', 'seriously', 'though', 'hearing', 'impaired', 'depend', 'lip', 'reading', 'joke', 'u', 'kid', 'wear', 'mask', 'ear', 'loop', 'around', 'hearing', 'aid', 'glass', 'get', 'close', 'person', 'hear', 'cant', 'see', 'mouth']"
96,"['awesome', 'thing', 'wearing', 'mask', 'lip', 'sync', 'song', 'judgement']"
97,"['yes', 'many', 'retail', 'staff', 'using', 'shield', 'already', 'work', 'hope', 'reconsider', 'alternative', 'cant', 'wont', 'wear', 'mask', 'mention', 'much', 'better', 'kid']"
98,"['people', 'using', 'fake', 'card', 'exempt', 'wearing', 'face', 'mask', 'toronto', 'covid', '19', 'wearamask']"
99,"['checked', 'news', 'much', 'going', 'dont', 'focus', 'energy', 'covid', 'amp', 'whether', 'people', 'wearing', 'mask']"
100,"['covid', '19', 'coronavirus', 'sarcasm', 'covidiots', 'lol', 'covid', '__19', 'wtfock', 'mask']"
